2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:37::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:39::ExecuteReader 必須有開啟與可用的 Connection。連接目前的狀態為連接中。

2019-08-26 09:31:39::並未將物件參考設定為物件的執行個體。

2019-08-26 09:31:40::SqlDbType 的列舉值 0 無效。
參數名稱: SqlDbType

2019-08-26 15:30:37::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:31:48::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:31:50::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:31:52::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:31:58::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:01::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:03::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:05::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:06::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:07::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:12::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:13::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:18::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:19::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:20::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:21::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

2019-08-26 15:32:22::資料行 'Relationship' 不屬於資料表 RelativesInCompany。

